20,3,10
20,9,10
20,15,10
20,21,10
20,27,10
20,33,10
20,39,10
20,45,10
20,51,10
20,57,10
20,63,10
20,69,10
20,75,10
20,81,10
20,87,10
20,93,9
20,99,9
20,105,9
20,111,9
20,117,9
20,123,8
20,129,8
20,135,8
20,141,8
20,147,7
20,153,7
20,159,7
20,165,6
20,171,6
20,177,5
20,183,5
20,189,3
20,195,3
30,3,7
30,9,7
30,15,7
30,21,7
30,27,7
30,33,7
30,39,7
30,45,7
30,51,7
30,57,7
30,63,7
30,69,7
30,75,7
30,81,7
30,87,7
30,93,6
30,99,6
30,105,6
30,111,6
30,117,6
30,123,6
30,129,6
30,135,5
30,141,5
30,147,5
30,153,5
30,159,5
30,165,4
30,171,4
30,177,4
30,183,3
30,189,3
30,195,2
40,3,5
40,9,5
40,15,5
40,21,5
40,27,5
40,33,5
40,39,5
40,45,5
40,51,5
40,57,5
40,63,5
40,69,5
40,75,5
40,81,5
40,87,5
40,93,5
40,99,5
40,105,5
40,111,5
40,117,5
40,123,4
40,129,4
40,135,4
40,141,4
40,147,4
40,153,4
40,159,4
40,165,3
40,171,3
40,177,3
40,183,3
40,189,2
40,195,2
50,3,4
50,9,4
50,15,4
50,21,4
50,27,4
50,33,4
50,39,4
50,45,4
50,51,4
50,57,4
50,63,4
50,69,4
50,75,4
50,81,4
50,87,4
50,93,4
50,99,4
50,105,4
50,111,4
50,117,4
50,123,4
50,129,3
50,135,3
50,141,3
50,147,3
50,153,3
50,159,3
50,165,3
50,171,3
50,177,2
50,183,2
50,189,0
50,195,0
60,3,4
60,9,4
60,15,4
60,21,4
60,27,4
60,33,4
60,39,4
60,45,4
60,51,4
60,57,4
60,63,4
60,69,4
60,75,4
60,81,4
60,87,4
60,93,3
60,99,3
60,105,3
60,111,3
60,117,3
60,123,3
60,129,3
60,135,3
60,141,3
60,147,3
60,153,0
60,159,0
60,165,0
60,171,0
60,177,0
60,183,0
60,189,0
60,195,0
70,3,3
70,9,3
70,15,3
70,21,3
70,27,3
70,33,3
70,39,3
70,45,3
70,51,3
70,57,3
70,63,3
70,69,3
70,75,3
70,81,3
70,87,3
70,93,3
70,99,3
70,105,3
70,111,3
70,117,3
70,123,3
70,129,3
70,135,3
70,141,3
70,147,2
70,153,0
70,159,0
70,165,0
70,171,0
70,177,0
70,183,0
70,189,0
70,195,0
80,3,0
80,9,0
80,15,0
80,21,0
80,27,0
80,33,0
80,39,0
80,45,0
80,51,0
80,57,0
80,63,0
80,69,0
80,75,0
80,81,0
80,87,0
80,93,0
80,99,0
80,105,0
80,111,0
80,117,0
80,123,0
80,129,0
80,135,0
80,141,0
80,147,0
80,153,0
80,159,0
80,165,0
80,171,0
80,177,0
80,183,0
80,189,0
80,195,0
