0	150	0
0.80836	14.5733	-150
0.895348	4.0815e-09	-133.858
1	17.5326	-114.439
1.07157	2.0532e-07	-118.01
1.71271	157.06	-150
2	227.438	-135.665
2.06292	220.959	-150
3	124.469	63.4755
3.88468	66.6422	-150
4	59.1041	-122.172
4.23964	6.04804	-150
4.26696	1.56772e-08	-146.828
5	162.29	-61.7055
5.55097	300	-58.7343
6	187.768	-56.3128
6.93563	297.985	150
6.95273	300	146.229
7	294.432	135.806
7.05678	294.676	150
8	298.721	-85.7696
9	52.123	-126.875
9.21062	1.58669e-07	-134.34
9.65248	109.348	-150
